month_date,license_class,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,avg_minutes_per_trip,percent_of_trips_paid_with_credit_card,trips_per_day_shared,date,month_year1,trips_per_month,farebox_per_month,week,trips_per_week,year,farebox_per_week,total_trips_per_day,shared_trips_per_day_percent
2015-01-28,FHVHV,60357,0,13153,12544,7265,18.0,5.4,17.6,5.3,0.0,0.0,0,2015-01,2015-01,1871067,0,04,422499,2015,0,60357,0.0
2015-02-28,FHVHV,77796,0,14180,13531,8402,17.4,5.8,17.1,5.8,0.0,0.0,0,2015-02,2015-02,2178288,0,08,544572,2015,0,77796,0.0
2015-03-28,FHVHV,72889,0,14995,14290,8579,18.6,5.5,18.2,5.5,0.0,0.0,0,2015-03,2015-03,2259559,0,12,510223,2015,0,72889,0.0
2015-04-28,FHVHV,82498,0,16473,16006,9711,18.2,5.6,17.8,5.5,0.0,0.0,0,2015-04,2015-04,2474940,0,17,577486,2015,0,82498,0.0
2015-05-28,FHVHV,94103,0,19076,14122,8120,17.8,5.4,18.0,5.6,0.0,0.0,0,2015-05,2015-05,2917193,0,21,658721,2015,0,94103,0.0
2015-06-28,FHVHV,102793,0,20452,19840,12089,18.3,5.6,17.9,5.5,0.0,0.0,0,2015-06,2015-06,3083790,0,25,719551,2015,0,102793,0.0
2015-07-28,FHVHV,112207,0,22070,22646,13358,18.3,5.5,17.5,5.4,0.0,0.0,0,2015-07,2015-07,3478417,0,30,785449,2015,0,112207,0.0
2015-08-28,FHVHV,123807,0,25085,24452,14485,18.4,5.6,18.0,5.5,0.0,0.0,0,2015-08,2015-08,3838017,0,34,866649,2015,0,123807,0.0
2015-09-28,FHVHV,144300,0,26914,26050,15814,18.2,5.8,17.8,5.7,0.0,0.0,0,2015-09,2015-09,4329000,0,39,1010100,2015,0,144300,0.0
2015-10-28,FHVHV,163168,0,29151,28002,17701,19.6,5.8,19.1,5.7,0.0,0.0,0,2015-10,2015-10,5058208,0,43,1142176,2015,0,163168,0.0
2015-11-28,FHVHV,163178,0,30119,28845,18141,18.9,5.7,18.4,5.6,0.0,0.0,0,2015-11,2015-11,4895340,0,47,1142246,2015,0,163178,0.0
2015-12-28,FHVHV,168786,0,31249,30010,18733,19.4,5.6,19.0,5.6,0.0,0.0,0,2015-12,2015-12,5232366,0,52,1181502,2015,0,168786,0.0
2016-01-28,FHVHV,166805,0,32497,32056,19007,18.5,5.5,18.2,5.5,0.0,0.0,0,2016-01,2016-01,5170955,0,04,1167635,2016,0,166805,0.0
