date,id_cd,cd_name,id_borough,borough,polluting_agent,data_value
2009-12-01,107,Upper West Side (CD7),1,manhattan,SO2 (ppb),7.57
2009-12-01,108,Upper East Side (CD8),1,manhattan,SO2 (ppb),8.46
2009-12-01,109,Morningside Heights and Hamilton Heights (CD9),1,manhattan,SO2 (ppb),6.26
2009-12-01,110,Central Harlem (CD10),1,manhattan,SO2 (ppb),5.59
2009-12-01,111,East Harlem (CD11),1,manhattan,SO2 (ppb),4.84
2009-12-01,112,Washington Heights and Inwood (CD12),1,manhattan,SO2 (ppb),7.45
2009-12-01,201,Mott Haven and Melrose (CD1),4,the_bronx,SO2 (ppb),3.9
2009-12-01,202,Hunts Point and Longwood (CD2),4,the_bronx,SO2 (ppb),3.45
2009-12-01,203,Morrisania and Crotona (CD3),4,the_bronx,SO2 (ppb),4.66
2009-12-01,204,Highbridge and Concourse (CD4),4,the_bronx,SO2 (ppb),6.9
2009-12-01,205,Fordham and University Heights (CD5),4,the_bronx,SO2 (ppb),8.24
2009-12-01,210,Throgs Neck and Co-op City (CD10),4,the_bronx,SO2 (ppb),2.83
2009-12-01,211,Morris Park and Bronxdale (CD11),4,the_bronx,SO2 (ppb),3.76
2009-12-01,212,Williamsbridge and Baychester (CD12),4,the_bronx,SO2 (ppb),3.59
2009-12-01,301,Greenpoint and Williamsburg (CD1),2,brooklyn,SO2 (ppb),2.99
2009-12-01,302,Fort Greene and Brooklyn Heights (CD2),2,brooklyn,SO2 (ppb),2.86
2009-12-01,303,Bedford Stuyvesant (CD3),2,brooklyn,SO2 (ppb),3.24
2009-12-01,304,Bushwick (CD4),2,brooklyn,SO2 (ppb),3.34
2009-12-01,305,East New York and Starrett City (CD5),2,brooklyn,SO2 (ppb),2.79
2009-12-01,306,Park Slope and Carroll Gardens (CD6),2,brooklyn,SO2 (ppb),2.47
2009-12-01,307,Sunset Park (CD7),2,brooklyn,SO2 (ppb),2.34
2009-12-01,308,Crown Heights and Prospect Heights (CD8),2,brooklyn,SO2 (ppb),3.23
2009-12-01,309,South Crown Heights and Lefferts Gardens (CD9),2,brooklyn,SO2 (ppb),3.36
2009-12-01,310,Bay Ridge and Dyker Heights (CD10),2,brooklyn,SO2 (ppb),2.09
2009-12-01,311,Bensonhurst (CD11),2,brooklyn,SO2 (ppb),2.35
2009-12-01,312,Borough Park (CD12),2,brooklyn,SO2 (ppb),2.82
2009-12-01,313,Coney Island (CD13),2,brooklyn,SO2 (ppb),1.98
2009-12-01,314,Flatbush and Midwood (CD14),2,brooklyn,SO2 (ppb),3.14
2009-12-01,315,Sheepshead Bay (CD15),2,brooklyn,SO2 (ppb),2.29
2009-12-01,316,Brownsville (CD16),2,brooklyn,SO2 (ppb),3.06
2009-12-01,317,East Flatbush (CD17),2,brooklyn,SO2 (ppb),3.02
2009-12-01,318,Flatlands and Canarsie (CD18),2,brooklyn,SO2 (ppb),2.33
2009-12-01,401,Long Island City and Astoria (CD1),3,queens,SO2 (ppb),3.58
2009-12-01,402,Woodside and Sunnyside (CD2),3,queens,SO2 (ppb),3.43
2009-12-01,403,Jackson Heights (CD3),3,queens,SO2 (ppb),4.32
2009-12-01,404,Elmhurst and Corona (CD4),3,queens,SO2 (ppb),4.51
2009-12-01,405,Ridgewood and Maspeth (CD5),3,queens,SO2 (ppb),2.94
2009-12-01,406,Rego Park and Forest Hills (CD6),3,queens,SO2 (ppb),3.83
2009-12-01,407,Flushing and Whitestone (CD7),3,queens,SO2 (ppb),3.03
2009-12-01,408,Hillcrest and Fresh Meadows (CD8),3,queens,SO2 (ppb),2.77
2009-12-01,409,Kew Gardens and Woodhaven (CD9),3,queens,SO2 (ppb),3.1
2009-12-01,410,South Ozone Park and Howard Beach (CD10),3,queens,SO2 (ppb),2.53
2009-12-01,411,Bayside and Little Neck (CD11),3,queens,SO2 (ppb),2.44
2009-12-01,412,Jamaica and Hollis (CD12),3,queens,SO2 (ppb),2.47
2009-12-01,413,Queens Village (CD13),3,queens,SO2 (ppb),2.19
2009-12-01,414,Rockaway and Broad Channel (CD14),3,queens,SO2 (ppb),1.89
2009-12-01,501,St. George and Stapleton (CD1),5,staten_island,SO2 (ppb),1.42
2009-12-01,502,South Beach and Willowbrook (CD2),5,staten_island,SO2 (ppb),1.21
2009-12-01,503,Tottenville and Great Kills (CD3),5,staten_island,SO2 (ppb),0.98
2010-12-01,101,Financial District (CD1),1,manhattan,SO2 (ppb),3.96
2010-12-01,102,Greenwich Village and Soho (CD2),1,manhattan,SO2 (ppb),7.27
2010-12-01,103,Lower East Side and Chinatown (CD3),1,manhattan,SO2 (ppb),5.89
2010-12-01,104,Clinton and Chelsea (CD4),1,manhattan,SO2 (ppb),6.19
2010-12-01,105,Midtown (CD5),1,manhattan,SO2 (ppb),8.76
2010-12-01,106,Stuyvesant Town and Turtle Bay (CD6),1,manhattan,SO2 (ppb),7.87
2010-12-01,107,Upper West Side (CD7),1,manhattan,SO2 (ppb),9.42
2010-12-01,108,Upper East Side (CD8),1,manhattan,SO2 (ppb),10.45
2010-12-01,109,Morningside Heights and Hamilton Heights (CD9),1,manhattan,SO2 (ppb),7.89
2010-12-01,110,Central Harlem (CD10),1,manhattan,SO2 (ppb),7.04
2010-12-01,111,East Harlem (CD11),1,manhattan,SO2 (ppb),6.04
2010-12-01,112,Washington Heights and Inwood (CD12),1,manhattan,SO2 (ppb),9.51
2010-12-01,201,Mott Haven and Melrose (CD1),4,the_bronx,SO2 (ppb),4.93
2010-12-01,202,Hunts Point and Longwood (CD2),4,the_bronx,SO2 (ppb),4.4
2010-12-01,203,Morrisania and Crotona (CD3),4,the_bronx,SO2 (ppb),5.95
2010-12-01,204,Highbridge and Concourse (CD4),4,the_bronx,SO2 (ppb),8.78
2010-12-01,205,Fordham and University Heights (CD5),4,the_bronx,SO2 (ppb),10.52
2010-12-01,206,Belmont and East Tremont (CD6),4,the_bronx,SO2 (ppb),6.76
2010-12-01,207,Kingsbridge Heights and Bedford (CD7),4,the_bronx,SO2 (ppb),9.53
2010-12-01,208,Riverdale and Fieldston (CD8),4,the_bronx,SO2 (ppb),5.4
