,date,id_borough,borough,volume
120,2008-04-27,4,the_bronx,762.4895833333334
121,2008-04-28,2,brooklyn,260.5520833333333
122,2008-04-28,4,the_bronx,858.56875
123,2008-04-29,2,brooklyn,262.43055555555554
124,2008-04-29,4,the_bronx,868.70625
125,2008-04-30,2,brooklyn,292.81597222222223
126,2008-04-30,4,the_bronx,883.03125
127,2008-05-01,2,brooklyn,355.84722222222223
128,2008-05-01,4,the_bronx,983.3375
129,2008-05-02,2,brooklyn,228.05902777777777
130,2008-05-02,4,the_bronx,1016.1125
131,2008-05-03,2,brooklyn,183.55555555555554
132,2008-05-03,4,the_bronx,880.2857142857143
133,2008-05-04,2,brooklyn,141.62152777777777
134,2008-05-04,4,the_bronx,712.2669270833334
135,2008-05-05,2,brooklyn,243.43402777777777
136,2008-05-05,4,the_bronx,841.0925666199158
137,2008-05-06,2,brooklyn,243.79513888888889
138,2008-05-06,4,the_bronx,923.3363095238095
139,2008-05-07,2,brooklyn,221.07291666666666
140,2008-05-07,4,the_bronx,915.047619047619
141,2008-05-08,2,brooklyn,158.82291666666666
142,2008-05-08,4,the_bronx,930.1294642857143
143,2008-05-09,2,brooklyn,48.567796610169495
144,2008-05-09,4,the_bronx,848.1636904761905
145,2008-05-10,2,brooklyn,65.53125
146,2008-05-10,4,the_bronx,676.9672619047619
147,2008-05-11,2,brooklyn,49.854166666666664
148,2008-05-11,4,the_bronx,629.5505952380952
149,2008-05-12,2,brooklyn,9.648351648351648
150,2008-05-12,4,the_bronx,583.6145833333334
151,2008-05-13,4,the_bronx,562.9419152276295
152,2008-05-14,4,the_bronx,505.51991614255763
153,2008-05-15,4,the_bronx,377.1510416666667
154,2008-05-16,4,the_bronx,347.66153846153844
155,2008-05-17,3,queens,719.6
156,2008-05-17,4,the_bronx,377.99652777777777
157,2008-05-18,3,queens,556.8229166666666
158,2008-05-18,4,the_bronx,355.37847222222223
159,2008-05-19,3,queens,598.1354166666666
160,2008-05-19,4,the_bronx,246.0
161,2008-05-20,3,queens,556.4895833333334
162,2008-05-20,4,the_bronx,214.92708333333334
163,2008-05-21,3,queens,589.9166666666666
164,2008-05-21,4,the_bronx,153.43478260869566
165,2008-05-22,3,queens,483.875
166,2008-05-23,3,queens,615.3229166666666
167,2008-05-24,3,queens,585.71875
168,2008-05-25,3,queens,545.625
169,2008-05-26,3,queens,508.9375
170,2008-05-27,3,queens,129.59411764705882
171,2008-05-28,3,queens,86.45486111111111
172,2008-05-29,2,brooklyn,3906.181818181818
173,2008-05-29,3,queens,321.02287581699346
174,2008-05-30,2,brooklyn,3215.7916666666665
175,2008-05-30,3,queens,563.452380952381
176,2008-05-31,2,brooklyn,2932.9166666666665
177,2008-05-31,3,queens,522.3541666666666
178,2008-06-01,2,brooklyn,3071.7083333333335
179,2008-06-01,3,queens,463.01488095238096
180,2008-06-02,2,brooklyn,3067.8125
181,2008-06-02,3,queens,529.4494047619048
182,2008-06-03,2,brooklyn,2997.0208333333335
183,2008-06-03,3,queens,524.860119047619
184,2008-06-04,2,brooklyn,2976.2291666666665
185,2008-06-04,3,queens,391.1655405405405
186,2008-06-05,2,brooklyn,3140.1875
187,2008-06-05,3,queens,818.8888888888889
188,2008-06-06,2,brooklyn,3091.4791666666665
189,2008-06-06,3,queens,1316.013888888889
190,2008-06-07,2,brooklyn,3091.8125
191,2008-06-07,3,queens,1427.5416666666667
192,2008-06-07,4,the_bronx,3301.064516129032
193,2008-06-08,2,brooklyn,2996.8958333333335
194,2008-06-08,3,queens,1334.486111111111
195,2008-06-08,4,the_bronx,2498.6458333333335
196,2008-06-09,2,brooklyn,2816.625
197,2008-06-09,3,queens,1281.0555555555557
198,2008-06-09,4,the_bronx,2440.1458333333335
199,2008-06-10,2,brooklyn,2811.0833333333335
200,2008-06-10,3,queens,1229.0555555555557
201,2008-06-10,4,the_bronx,2401.9791666666665
202,2008-06-11,2,brooklyn,3036.0208333333335
203,2008-06-11,3,queens,1224.763888888889
204,2008-06-11,4,the_bronx,2412.2916666666665
205,2008-06-12,2,brooklyn,2210.0625
206,2008-06-12,3,queens,734.7410714285714
207,2008-06-12,4,the_bronx,2348.375
208,2008-06-13,2,brooklyn,1601.4166666666667
209,2008-06-13,3,queens,601.9375
210,2008-06-13,4,the_bronx,1250.2708333333333
211,2008-06-14,2,brooklyn,344.340350877193
212,2008-06-14,3,queens,476.71875
213,2008-06-14,4,the_bronx,1312.9166666666667
214,2008-06-15,2,brooklyn,236.7060185185185
215,2008-06-15,3,queens,48.625
216,2008-06-15,4,the_bronx,1301.875
217,2008-06-16,2,brooklyn,253.77777777777777
218,2008-06-16,3,queens,46.104166666666664
219,2008-06-16,4,the_bronx,1208.0833333333333
220,2008-06-17,2,brooklyn,120.79702970297029
221,2008-06-17,4,the_bronx,1224.2291666666667
222,2008-06-18,2,brooklyn,90.34114583333333
223,2008-06-18,4,the_bronx,1252.2291666666667
224,2008-06-19,2,brooklyn,89.47395833333333
225,2008-06-19,4,the_bronx,1274.2916666666667
226,2008-06-20,2,brooklyn,95.37760416666667
227,2008-06-20,4,the_bronx,1062.8333333333333
228,2008-06-21,2,brooklyn,25.157894736842106
229,2008-06-21,4,the_bronx,2366.2291666666665
230,2008-06-22,4,the_bronx,2499.3541666666665
231,2008-06-23,2,brooklyn,121.08602150537635
232,2008-06-23,4,the_bronx,2472.6666666666665
233,2008-06-24,2,brooklyn,99.45231607629428
234,2008-06-24,4,the_bronx,2500.0208333333335
235,2008-06-25,2,brooklyn,71.08541666666666
236,2008-06-25,4,the_bronx,2567.0833333333335
237,2008-06-26,2,brooklyn,65.3875
238,2008-06-26,4,the_bronx,2582.1041666666665
239,2008-06-27,2,brooklyn,17.407894736842106
240,2008-06-27,4,the_bronx,1438.375
241,2008-06-28,4,the_bronx,1368.0625
242,2008-06-29,4,the_bronx,1317.3958333333333
243,2008-06-30,4,the_bronx,809.3333333333334
244,2008-07-19,1,manhattan,84.27272727272727
245,2008-07-20,1,manhattan,71.72916666666667
246,2008-07-21,1,manhattan,73.93229166666667
247,2008-07-22,1,manhattan,76.04117647058824
248,2008-07-23,1,manhattan,74.61979166666667
249,2008-07-24,1,manhattan,67.11458333333333
250,2008-07-25,1,manhattan,41.375
251,2008-07-26,1,manhattan,59.041666666666664
252,2008-07-27,1,manhattan,70.92708333333333
253,2008-07-28,1,manhattan,65.21354166666667
254,2008-07-29,1,manhattan,73.41145833333333
255,2008-07-30,1,manhattan,70.34375
256,2008-07-31,1,manhattan,66.66492146596859
257,2008-08-01,1,manhattan,69.5
258,2008-08-02,1,manhattan,273.8743718592965
259,2008-08-03,1,manhattan,311.93854748603354
260,2008-08-04,1,manhattan,389.7048611111111
261,2008-08-05,1,manhattan,344.8020833333333
262,2008-08-06,1,manhattan,351.7013888888889
263,2008-08-07,1,manhattan,360.72222222222223
264,2008-08-08,1,manhattan,324.7916666666667
265,2008-08-09,1,manhattan,398.3541666666667
266,2008-08-10,1,manhattan,394.5486111111111
267,2008-08-11,1,manhattan,399.6111111111111
268,2008-08-12,1,manhattan,431.31597222222223
269,2008-08-13,1,manhattan,425.3263888888889
270,2008-08-14,1,manhattan,417.65277777777777
271,2008-08-15,1,manhattan,397.80902777777777
272,2008-08-16,1,manhattan,287.2326388888889
273,2008-08-17,1,manhattan,251.15277777777777
274,2008-08-18,1,manhattan,186.51685393258427
275,2008-09-08,2,brooklyn,220.69072164948454
276,2008-09-09,2,brooklyn,169.8452380952381
277,2008-09-10,2,brooklyn,181.17857142857142
278,2008-09-11,2,brooklyn,172.26190476190476
279,2008-09-12,2,brooklyn,190.95833333333334
280,2008-09-13,2,brooklyn,157.69642857142858
281,2008-09-14,2,brooklyn,129.64285714285714
282,2008-09-15,2,brooklyn,171.4404761904762
283,2008-09-16,2,brooklyn,120.2089552238806
284,2009-01-08,1,manhattan,54.04761904761905
285,2009-01-09,1,manhattan,88.43632567849687
286,2009-01-10,1,manhattan,70.91875
287,2009-01-11,1,manhattan,59.25625
288,2009-01-12,2,brooklyn,40.47899159663866
289,2009-01-12,1,manhattan,71.08203799654576
290,2009-01-12,3,queens,13.409090909090908
291,2009-01-13,2,brooklyn,33.807291666666664
292,2009-01-13,1,manhattan,65.39657738095238
293,2009-01-13,3,queens,89.2914979757085
294,2009-01-14,2,brooklyn,18.541666666666668
295,2009-01-14,1,manhattan,69.70833333333333
296,2009-01-14,3,queens,66.99544419134396
297,2009-01-15,2,brooklyn,12.307291666666666
298,2009-01-15,1,manhattan,69.95238095238095
299,2009-01-15,3,queens,64.7125
300,2009-01-16,2,brooklyn,34.046875
301,2009-01-16,1,manhattan,79.55877976190476
302,2009-01-16,3,queens,87.11848341232228
303,2009-01-17,2,brooklyn,29.776041666666668
304,2009-01-17,1,manhattan,71.81324404761905
305,2009-01-17,3,queens,8.885057471264368
306,2009-01-18,2,brooklyn,22.140625
307,2009-01-18,1,manhattan,36.70772238514174
308,2009-01-19,2,brooklyn,17.057291666666668
309,2009-01-19,1,manhattan,34.088541666666664
310,2009-01-20,2,brooklyn,34.37005163511188
311,2009-01-20,1,manhattan,56.73993808049536
312,2009-01-20,4,the_bronx,55.55974842767296
313,2009-01-21,2,brooklyn,55.906666666666666
314,2009-01-21,1,manhattan,60.49905303030303
315,2009-01-21,4,the_bronx,42.72222222222222
316,2009-01-22,2,brooklyn,53.37259615384615
317,2009-01-22,1,manhattan,62.24444444444445
318,2009-01-22,4,the_bronx,45.70722433460076
319,2009-01-23,2,brooklyn,56.85057471264368
320,2009-01-23,1,manhattan,62.760416666666664
321,2009-01-23,4,the_bronx,49.24305555555556
322,2009-01-24,2,brooklyn,57.32386363636363
323,2009-01-24,1,manhattan,54.666666666666664
324,2009-01-24,4,the_bronx,33.958333333333336
325,2009-01-25,2,brooklyn,48.302083333333336
326,2009-01-25,1,manhattan,51.203045685279186
327,2009-01-25,4,the_bronx,25.475694444444443
328,2009-01-26,2,brooklyn,53.22843450479233
329,2009-01-26,1,manhattan,191.5524728588661
330,2009-01-26,4,the_bronx,2.7555555555555555
331,2009-01-27,2,brooklyn,26.342637151106832
332,2009-01-27,1,manhattan,173.94412878787878
333,2009-01-28,2,brooklyn,15.319444444444445
334,2009-01-28,1,manhattan,59.08522727272727
335,2009-01-29,2,brooklyn,21.085714285714285
336,2009-01-29,1,manhattan,164.56039791567977
337,2009-01-30,2,brooklyn,27.076923076923077
338,2009-01-30,1,manhattan,182.0166147455867
339,2009-01-31,2,brooklyn,31.569444444444443
340,2009-01-31,1,manhattan,171.85079539221064
341,2009-02-01,2,brooklyn,27.15277777777778
342,2009-02-01,1,manhattan,151.1841961852861
343,2009-02-02,2,brooklyn,111.36327345309381
344,2009-02-02,1,manhattan,170.4233193277311
345,2009-02-03,2,brooklyn,103.90451388888889
346,2009-02-03,1,manhattan,169.32168607875764
347,2009-02-04,2,brooklyn,103.50347222222223
348,2009-02-04,1,manhattan,183.88650839606254
349,2009-02-05,2,brooklyn,106.43576388888889
350,2009-02-05,1,manhattan,186.4854748603352
