,date,id_cd,cd_name,id_borough,borough,pm 2.5,air_quality
75,2009-12-01,205,Fordham and University Heights (CD5),4,the_bronx,12.84,aceptable
76,2009-12-01,206,Belmont and East Tremont (CD6),4,the_bronx,11.81,bueno
77,2009-12-01,207,Kingsbridge Heights and Bedford (CD7),4,the_bronx,12.02,aceptable
78,2009-12-01,208,Riverdale and Fieldston (CD8),4,the_bronx,11.49,bueno
79,2009-12-01,209,Parkchester and Soundview (CD9),4,the_bronx,10.59,bueno
80,2009-12-01,210,Throgs Neck and Co-op City (CD10),4,the_bronx,9.77,bueno
81,2009-12-01,211,Morris Park and Bronxdale (CD11),4,the_bronx,10.38,bueno
82,2009-12-01,212,Williamsbridge and Baychester (CD12),4,the_bronx,10.29,bueno
83,2009-12-01,301,Greenpoint and Williamsburg (CD1),2,brooklyn,10.44,bueno
84,2009-12-01,302,Fort Greene and Brooklyn Heights (CD2),2,brooklyn,10.62,bueno
85,2009-12-01,303,Bedford Stuyvesant (CD3),2,brooklyn,10.11,bueno
86,2009-12-01,304,Bushwick (CD4),2,brooklyn,10.0,bueno
87,2009-12-01,305,East New York and Starrett City (CD5),2,brooklyn,10.17,bueno
88,2009-12-01,306,Park Slope and Carroll Gardens (CD6),2,brooklyn,10.69,bueno
89,2009-12-01,307,Sunset Park (CD7),2,brooklyn,10.69,bueno
90,2009-12-01,308,Crown Heights and Prospect Heights (CD8),2,brooklyn,10.35,bueno
91,2009-12-01,309,South Crown Heights and Lefferts Gardens (CD9),2,brooklyn,10.38,bueno
92,2009-12-01,310,Bay Ridge and Dyker Heights (CD10),2,brooklyn,9.77,bueno
93,2009-12-01,311,Bensonhurst (CD11),2,brooklyn,9.49,bueno
94,2009-12-01,312,Borough Park (CD12),2,brooklyn,10.09,bueno
95,2009-12-01,313,Coney Island (CD13),2,brooklyn,8.85,bueno
96,2009-12-01,314,Flatbush and Midwood (CD14),2,brooklyn,10.2,bueno
97,2009-12-01,315,Sheepshead Bay (CD15),2,brooklyn,9.12,bueno
98,2009-12-01,316,Brownsville (CD16),2,brooklyn,10.42,bueno
99,2009-12-01,317,East Flatbush (CD17),2,brooklyn,10.34,bueno
100,2009-12-01,318,Flatlands and Canarsie (CD18),2,brooklyn,9.41,bueno
101,2009-12-01,401,Long Island City and Astoria (CD1),3,queens,9.32,bueno
102,2009-12-01,402,Woodside and Sunnyside (CD2),3,queens,10.21,bueno
103,2009-12-01,403,Jackson Heights (CD3),3,queens,9.27,bueno
104,2009-12-01,404,Elmhurst and Corona (CD4),3,queens,9.89,bueno
105,2009-12-01,405,Ridgewood and Maspeth (CD5),3,queens,9.75,bueno
106,2009-12-01,406,Rego Park and Forest Hills (CD6),3,queens,10.13,bueno
107,2009-12-01,407,Flushing and Whitestone (CD7),3,queens,9.58,bueno
108,2009-12-01,408,Hillcrest and Fresh Meadows (CD8),3,queens,9.65,bueno
109,2009-12-01,409,Kew Gardens and Woodhaven (CD9),3,queens,9.95,bueno
110,2009-12-01,410,South Ozone Park and Howard Beach (CD10),3,queens,9.48,bueno
111,2009-12-01,411,Bayside and Little Neck (CD11),3,queens,9.11,bueno
112,2009-12-01,412,Jamaica and Hollis (CD12),3,queens,9.65,bueno
113,2009-12-01,413,Queens Village (CD13),3,queens,8.86,bueno
114,2009-12-01,414,Rockaway and Broad Channel (CD14),3,queens,7.94,bueno
115,2009-12-01,501,St. George and Stapleton (CD1),5,staten_island,9.15,bueno
116,2009-12-01,502,South Beach and Willowbrook (CD2),5,staten_island,9.02,bueno
117,2009-12-01,503,Tottenville and Great Kills (CD3),5,staten_island,9.07,bueno
118,2010-12-01,101,Financial District (CD1),1,manhattan,14.81,aceptable
119,2010-12-01,102,Greenwich Village and Soho (CD2),1,manhattan,14.64,aceptable
120,2010-12-01,103,Lower East Side and Chinatown (CD3),1,manhattan,13.85,aceptable
121,2010-12-01,104,Clinton and Chelsea (CD4),1,manhattan,15.03,aceptable
122,2010-12-01,105,Midtown (CD5),1,manhattan,16.99,aceptable
123,2010-12-01,106,Stuyvesant Town and Turtle Bay (CD6),1,manhattan,15.48,aceptable
124,2010-12-01,107,Upper West Side (CD7),1,manhattan,14.34,aceptable
125,2010-12-01,108,Upper East Side (CD8),1,manhattan,14.69,aceptable
126,2010-12-01,109,Morningside Heights and Hamilton Heights (CD9),1,manhattan,14.49,aceptable
127,2010-12-01,110,Central Harlem (CD10),1,manhattan,14.3,aceptable
128,2010-12-01,111,East Harlem (CD11),1,manhattan,14.14,aceptable
129,2010-12-01,112,Washington Heights and Inwood (CD12),1,manhattan,14.63,aceptable
130,2010-12-01,201,Mott Haven and Melrose (CD1),4,the_bronx,14.72,aceptable
131,2010-12-01,202,Hunts Point and Longwood (CD2),4,the_bronx,14.51,aceptable
132,2010-12-01,203,Morrisania and Crotona (CD3),4,the_bronx,14.29,aceptable
133,2010-12-01,204,Highbridge and Concourse (CD4),4,the_bronx,14.91,aceptable
134,2010-12-01,205,Fordham and University Heights (CD5),4,the_bronx,15.05,aceptable
135,2010-12-01,206,Belmont and East Tremont (CD6),4,the_bronx,14.37,aceptable
136,2010-12-01,207,Kingsbridge Heights and Bedford (CD7),4,the_bronx,14.3,aceptable
137,2010-12-01,208,Riverdale and Fieldston (CD8),4,the_bronx,14.07,aceptable
138,2010-12-01,209,Parkchester and Soundview (CD9),4,the_bronx,13.58,aceptable
139,2010-12-01,210,Throgs Neck and Co-op City (CD10),4,the_bronx,13.1,aceptable
140,2010-12-01,211,Morris Park and Bronxdale (CD11),4,the_bronx,13.36,aceptable
141,2010-12-01,212,Williamsbridge and Baychester (CD12),4,the_bronx,13.35,aceptable
