license_class,trips_per_day,farebox_per_day,unique_drivers,unique_vehicles,vehicles_per_day,avg_days_vehicles_on_road,avg_hours_per_day_per_vehicle,avg_days_drivers_on_road,avg_hours_per_day_per_driver,avg_minutes_per_trip,percent_of_trips_paid_with_credit_card,trips_per_day_shared,date,month_year1,trips_per_month,month_date,farebox_per_month,week,trips_per_week,year,farebox_per_week,total_trips_per_day,shared_trips_per_day_percent,farebox_per_trip,farebox_per_vehicle,trips_per_month_on_road,farebox_per_month_on_road,daily_farebox_per_trip,daily_farebox_per_vehicle,drivers_vehicles_ratio,monthly_farebox_per_vehicle_on_road,monthly_farebox_per_trip_on_road,monthly_trips_per_vehicle_on_road
FHV - Black Car,14150,0,6611,6261,3456,16.6,3.5,15.8,3.5,0.0,0.0,0,2016-09,2016-09,424500,2016-09-28,0,39,99050,2016,0,14150,0.0,0.0,0.0,234890.00000000003,0.0,0.0,0.0,1.055901613160837,0.0,0.0,37.516371186711396
FHV - Black Car,12933,0,6616,6381,3375,16.4,3.3,15.8,3.3,0.0,0.0,0,2016-10,2016-10,400923,2016-10-28,0,43,90531,2016,0,12933,0.0,0.0,0.0,212101.19999999998,0.0,0.0,0.0,1.036828083372512,0.0,0.0,33.239492242595205
FHV - Black Car,12670,0,6407,6114,3345,16.4,3.3,15.7,3.3,0.0,0.0,0,2016-11,2016-11,380100,2016-11-28,0,48,88690,2016,0,12670,0.0,0.0,0.0,207787.99999999997,0.0,0.0,0.0,1.0479228001308472,0.0,0.0,33.98560680405626
FHV - Black Car,12185,0,6304,6140,3102,15.7,3.3,15.2,3.3,0.0,0.0,0,2016-12,2016-12,377735,2016-12-28,0,52,85295,2016,0,12185,0.0,0.0,0.0,191304.5,0.0,0.0,0.0,1.0267100977198698,0.0,0.0,31.157084690553745
FHV - Black Car,12660,0,6481,6431,3297,15.9,3.3,15.8,3.3,0.0,0.0,0,2017-01,2017-01,392460,2017-01-28,0,04,88620,2017,0,12660,0.0,0.0,0.0,201294.0,0.0,0.0,0.0,1.0077748406157674,0.0,0.0,31.300575338205565
FHV - Black Car,13280,0,6931,6769,3599,14.9,3.2,14.7,3.1,0.0,0.0,0,2017-02,2017-02,371840,2017-02-28,0,09,92960,2017,0,13280,0.0,0.0,0.0,197872.0,0.0,0.0,0.0,1.0239326340670705,0.0,0.0,29.232087457526962
FHV - Black Car,14500,0,7334,6815,3742,17.0,3.3,16.0,3.2,0.0,0.0,0,2017-03,2017-03,449500,2017-03-28,0,13,101500,2017,0,14500,0.0,0.0,0.0,246500.0,0.0,0.0,0.0,1.0761555392516509,0.0,0.0,36.170212765957444
FHV - Black Car,13676,0,7201,6725,3536,15.8,3.3,14.8,3.2,0.0,0.0,0,2017-04,2017-04,410280,2017-04-28,0,17,95732,2017,0,13676,0.0,0.0,0.0,216080.80000000002,0.0,0.0,0.0,1.0707806691449815,0.0,0.0,32.13097397769517
FHV - Black Car,15505,0,7974,7435,4054,16.9,3.3,15.9,3.2,0.0,0.0,0,2017-05,2017-05,480655,2017-05-28,0,21,108535,2017,0,15505,0.0,0.0,0.0,262034.49999999997,0.0,0.0,0.0,1.0724949562878279,0.0,0.0,35.243375924680564
FHV - Black Car,14274,0,7450,7394,3840,15.6,3.2,15.5,3.2,39.0,0.0,0,2017-06,2017-06,428220,2017-06-28,0,26,99918,2017,0,14274,0.0,0.0,0.0,222674.4,0.0,0.0,0.0,1.007573708412226,0.0,0.0,30.115553151203677
